articlesShortDescription,Date
"Australian stocks ended at a four-week low on Monday dragged by the mining index as investors fretted over the ongoing crisis in China's troubled property sector, elevating concerns about its economic recovery.",2023-08-14 06:38:46
"India's National Mineral Development Corp (NMDC) on Friday reported a rise in quarterly profit, aided by robust iron ore sales.",2023-08-11 12:40:07
"Rio Tinto , on Friday, concluded key agreements with the government of Guinea and Winning Consortium Simandou (WCS) on the trans-Guinean infrastructure for the Simandou, one of the world's largest deposits of iron ore.",2023-08-11 06:58:27
Rio Tinto said on Friday it has concluded key agreements with the Republic of Guinea and Winning Consortium Simandou (WCS) on the trans-Guinean infrastructure for the Simandou iron ore project. (Reporting by Yadarisa Shabong in Bengaluru; Editing by Savio D'Souza),2023-08-11 06:34:22
Swedish metal and hydrogen company H2 Green Steel (H2GS) said on Wednesday it has signed multi-year deals with miners Rio Tinto and Vale for the supply of iron ore pellets from Canada and Brazil.,2023-08-09 12:37:34
Swedish metal and hydrogen company H2 Green Steel said on Wednesday it has signed multi-year deals with miners Rio Tinto and Vale for the supply of iron ore pellets from Canada and Brazil.,2023-08-09 09:09:28
"China's imports of iron ore in July slipped 2% from the previous month, customs data showed on Tuesday, as sintering curbs in major steel production hub Tangshan dampened demand for the key steelmaking ingredient.",2023-08-08 04:18:04
"China imported 93.48 million metric tons of iron ore in July, up 2.5% from the same month a year earlier, data from the country's General Administration of Customs showed on Tuesday.",2023-08-08 03:43:01
"South Africa's mining output has fallen further below pre-pandemic levels due to persistent electricity outages and rail disruptions, industry data shows, threatening dividend payouts to investors.",2023-08-07 09:37:44
"One of the main tools of statecraft in recent years has been trade sanctions or tariffs, but with China taking another step to normalising its trade relationship with Australia, the main lesson is these actions seldom work.",2023-08-07 04:32:14
"Nickel miner Vale Indonesia is planning to divest 14% of its stake this year to fulfill divestment rules, Indonesia's mining minister Arifin Tasrif told reporters on Friday.",2023-08-04 07:55:59
"Nickel miner Vale Indonesia is planning to divest 14% of its stake this year to fulfill divestment rules, Indonesia's mining minister Arifin Tasrif told reporters on Friday.",2023-08-04 07:19:09
"The world's largest steelmaker China Baowu Steel Group Corporation has held talks with Brazilian iron ore miner Vale on potential opportunities for future cooperation, according to an update on its WeChat account on Thursday.",2023-08-03 15:22:49
"The world's largest steelmaker China Baowu Steel Group Corporation has held talks with Brazilian iron ore miner Vale on potential opportunities for future cooperation, according to an update on its WeChat account on Thursday.",2023-08-03 15:22:49
"Australian shares logged their worst day since early July on Wednesday, led by declines in the financial and commodity stocks, as investor sentiment globally took a hit after rating agency Fitch downgraded United States government credit.",2023-08-02 07:08:46
"Fortescue said on Wednesday Deborah Caudle has been appointed as the chief financial officer of Fortescue Energy, and will assume the role in September.",2023-08-02 01:11:18
"Fortescue said on Wednesday Deborah Caudle has been appointed as the chief financial officer of the Fortescue Energy division, and will start in the role in September.",2023-08-01 23:56:23
"Bad news for China's economy appears to spell good news for commodities, with prices of copper and iron ore gaining on hopes for new stimulus measures after yet another weak indicator.",2023-08-01 04:35:10
"Rio Tinto CEO Jakob Stausholm said on Tuesday the global miner is focused on small, bolt-on acquisitions to shape its portfolio and is looking at a number of potential lithium acquisitions but added the sector remains quite hot.",2023-08-01 04:05:06
"Rio Tinto Chief Executive Jakob Stausholm said on Tuesday the iron ore miner is focused on small ""bolt on"" acquisitions, not big purchases.",2023-08-01 03:38:41
"Brazilian miner Samarco filed a consensual judicial reorganization plan on Friday alongside some of its creditors with the intent of carrying out transactions contemplated in a previous agreement that established a discount on the value of the mining company's debt, the...",2023-07-29 19:09:59
"Brazilian miner Vale SA posted a 78.2% year-on-year drop in its second-quarter net profit on Thursday, landing below analysts' forecasts.",2023-07-27 22:57:50
* HY REVENUE 38.28 BILLION RAND VERSUS 42.98 BILLION RAND Source text for Eikon: Further company coverage:,2023-07-27 06:51:05
* HY REVENUE 38.28 BILLION RAND VERSUS 42.98 BILLION RAND Source text for Eikon: Further company coverage:,2023-07-27 06:51:05
"Australia will update its critical minerals list by the end of the year, its resources minister said on Thursday, potentially opening the way for copper and nickel miners to tap government incentives and speed up new project development.",2023-07-27 01:10:31
"Australia will update its critical minerals list by the end of the year, its resources minister said on Thursday, potentially opening the way for developers of copper and nickel mines to tap government incentives to speed up project development.",2023-07-27 01:04:24
Fortescue on Thursday forecast higher iron ore shipments for financial year 2024 as its magnetite operations in Western Australia ramp up while posting fiscal 2023 shipments at the top end of its guided range. The world's fourth-largest iron ore miner adds to increasing...,2023-07-26 23:30:20
"Fortescue Metals Group on Thursday forecast higher iron ore shipments for fiscal 2024, encouraged by strength across its key operations in Western Australia.",2023-07-26 23:24:21
"Italian steelmaker Feralpi Group is eying a listing next year after slowing its initial public offering (IPO) plan due to market conditions, its CEO said on Wednesday.",2023-07-26 11:29:14
"Rio Tinto is the first of the global iron ore majors expected to report lower half-year earnings from this week, as supply chains normalise after COVID-19 and attention turns to how suppliers to China's steelmaking industry see customer demand.",2023-07-25 06:07:21
"Indonesian miner PT Amman Mineral Nusa Tenggara has obtained a government permit to export 900,000 wet metric tonnes of copper concentrate until May next year, the company has said.",2023-07-25 01:38:09
"Indonesian miner PT Amman Mineral Nusa Tenggara has obtained a government permit to export 900,000 wet metric tonnes of copper concentrate until May next year, the company has said.",2023-07-25 01:38:09
"Brazil's mining sector's revenue for the first half of 2023 grew 6% from a year earlier to reach 120 billion reais ($25.03 billion), according to data released on Wednesday by industry group Ibram.",2023-07-19 17:32:02
"Brazil's mining sector's revenue for the first half of 2023 grew 6% from a year earlier to reach 120 billion reais ($25.03 billion), according to data released on Wednesday by industry group Ibram.",2023-07-19 17:32:02
